Slice,Count,Total Area,Average Size,%Area,Pot number
r_55_02_20250305.jpg,0,0,NaN,0.000,37
r_55_02_20250305.jpg,0,0,NaN,0.000,38
r_55_02_20250305.jpg,0,0,NaN,0.000,39
r_55_02_20250305.jpg,7,2555,365.000,1.022,40
r_55_02_20250324_2.jpg,9,17043,1893.667,6.817,1
r_55_02_20250324_2.jpg,5,2992,598.400,1.197,2
r_55_02_20250324_2.jpg,0,0,NaN,0.000,3
r_55_02_20250324_2.jpg,0,0,NaN,0.000,4
r_55_02_20250324_2.jpg,0,0,NaN,0.000,5
r_55_02_20250324_2.jpg,0,0,NaN,0.000,6
r_55_02_20250324_2.jpg,0,0,NaN,0.000,7
r_55_02_20250324_2.jpg,8,4855,606.875,1.942,8
r_55_02_20250324_2.jpg,1,799,799.000,0.320,9
r_55_02_20250324_2.jpg,1,292,292.000,0.117,10
r_55_02_20250324_2.jpg,0,0,NaN,0.000,11
r_55_02_20250324_2.jpg,0,0,NaN,0.000,12
r_55_02_20250324_2.jpg,1,2150,2150.000,0.860,13
r_55_02_20250324_2.jpg,0,0,NaN,0.000,14
r_55_02_20250324_2.jpg,1,89374,89374.000,35.750,15
r_55_02_20250324_2.jpg,3,4171,1390.333,1.668,16
r_55_02_20250324_2.jpg,0,0,NaN,0.000,17
r_55_02_20250324_2.jpg,0,0,NaN,0.000,18
r_55_02_20250324_2.jpg,0,0,NaN,0.000,19
r_55_02_20250324_2.jpg,1,1801,1801.000,0.720,20
r_55_02_20250324_2.jpg,0,0,NaN,0.000,21
r_55_02_20250324_2.jpg,1,208,208.000,0.083,22
r_55_02_20250324_2.jpg,0,0,NaN,0.000,23
r_55_02_20250324_2.jpg,0,0,NaN,0.000,24
r_55_02_20250324_2.jpg,0,0,NaN,0.000,25
r_55_02_20250324_2.jpg,0,0,NaN,0.000,26
r_55_02_20250324_2.jpg,0,0,NaN,0.000,27
r_55_02_20250324_2.jpg,2,17134,8567.000,6.854,28
r_55_02_20250324_2.jpg,4,9900,2475.000,3.960,29
r_55_02_20250324_2.jpg,1,884,884.000,0.354,30
r_55_02_20250324_2.jpg,1,668,668.000,0.267,31
r_55_02_20250324_2.jpg,4,6168,1542.000,2.467,32
r_55_02_20250324_2.jpg,6,45966,7661.000,18.386,33
r_55_02_20250324_2.jpg,1,5730,5730.000,2.292,34
r_55_02_20250324_2.jpg,1,83823,83823.000,33.529,35
r_55_02_20250324_2.jpg,0,0,NaN,0.000,36
r_55_02_20250324_2.jpg,0,0,NaN,0.000,37
r_55_02_20250324_2.jpg,0,0,NaN,0.000,38
r_55_02_20250324_2.jpg,0,0,NaN,0.000,39
r_55_02_20250324_2.jpg,8,10629,1328.625,4.252,40
r_55_02_20250331.jpg,8,15662,1957.750,6.265,1
r_55_02_20250331.jpg,3,812,270.667,0.325,2
r_55_02_20250331.jpg,0,0,NaN,0.000,3
r_55_02_20250331.jpg,0,0,NaN,0.000,4
r_55_02_20250331.jpg,1,205,205.000,0.082,5
r_55_02_20250331.jpg,0,0,NaN,0.000,6
r_55_02_20250331.jpg,0,0,NaN,0.000,7
r_55_02_20250331.jpg,1,511,511.000,0.204,8
r_55_02_20250331.jpg,1,1157,1157.000,0.463,9
r_55_02_20250331.jpg,1,329,329.000,0.132,10
r_55_02_20250331.jpg,0,0,NaN,0.000,11
r_55_02_20250331.jpg,1,347,347.000,0.139,12
r_55_02_20250331.jpg,0,0,NaN,0.000,13
r_55_02_20250331.jpg,0,0,NaN,0.000,14
r_55_02_20250331.jpg,1,101444,101444.000,40.578,15
r_55_02_20250331.jpg,6,5733,955.500,2.293,16
r_55_02_20250331.jpg,1,308,308.000,0.123,17
r_55_02_20250331.jpg,0,0,NaN,0.000,18
r_55_02_20250331.jpg,0,0,NaN,0.000,19
r_55_02_20250331.jpg,3,2816,938.667,1.126,20
r_55_02_20250331.jpg,0,0,NaN,0.000,21
r_55_02_20250331.jpg,1,298,298.000,0.119,22
r_55_02_20250331.jpg,1,1761,1761.000,0.704,23
r_55_02_20250331.jpg,3,2932,977.333,1.173,24
r_55_02_20250331.jpg,0,0,NaN,0.000,25
r_55_02_20250331.jpg,0,0,NaN,0.000,26
r_55_02_20250331.jpg,0,0,NaN,0.000,27
r_55_02_20250331.jpg,1,26011,26011.000,10.404,28
r_55_02_20250331.jpg,6,9075,1512.500,3.630,29
r_55_02_20250331.jpg,2,969,484.500,0.388,30
r_55_02_20250331.jpg,1,836,836.000,0.334,31
r_55_02_20250331.jpg,5,2630,526.000,1.052,32
r_55_02_20250331.jpg,4,54488,13622.000,21.795,33
r_55_02_20250331.jpg,2,5686,2843.000,2.274,34
r_55_02_20250331.jpg,2,82931,41465.500,33.172,35
r_55_02_20250331.jpg,1,10,10.000,0.004,36
r_55_02_20250331.jpg,0,0,NaN,0.000,37
r_55_02_20250331.jpg,0,0,NaN,0.000,38
r_55_02_20250331.jpg,0,0,NaN,0.000,39
r_55_02_20250331.jpg,7,8218,1174.000,3.287,40
r_55_02_20250407.jpg,7,13326,1903.714,5.330,1
r_55_02_20250407.jpg,2,734,367.000,0.294,2
r_55_02_20250407.jpg,0,0,NaN,0.000,3
r_55_02_20250407.jpg,0,0,NaN,0.000,4
r_55_02_20250407.jpg,0,0,NaN,0.000,5
r_55_02_20250407.jpg,0,0,NaN,0.000,6
r_55_02_20250407.jpg,1,284,284.000,0.114,7
r_55_02_20250407.jpg,2,959,479.500,0.384,8
r_55_02_20250407.jpg,1,615,615.000,0.246,9
r_55_02_20250407.jpg,0,0,NaN,0.000,10
r_55_02_20250407.jpg,0,0,NaN,0.000,11
r_55_02_20250407.jpg,0,0,NaN,0.000,12
r_55_02_20250407.jpg,1,236,236.000,0.094,13
r_55_02_20250407.jpg,1,585,585.000,0.234,14
r_55_02_20250407.jpg,3,109476,36492.000,43.790,15
r_55_02_20250407.jpg,2,52639,26319.500,21.056,16
r_55_02_20250407.jpg,0,0,NaN,0.000,17
r_55_02_20250407.jpg,1,292,292.000,0.117,18
r_55_02_20250407.jpg,1,420,420.000,0.168,19
r_55_02_20250407.jpg,3,1173,391.000,0.469,20
r_55_02_20250407.jpg,1,321,321.000,0.128,21
r_55_02_20250407.jpg,1,261,261.000,0.104,22
r_55_02_20250407.jpg,1,2555,2555.000,1.022,23
r_55_02_20250407.jpg,7,6403,914.714,2.561,24
r_55_02_20250407.jpg,0,0,NaN,0.000,25
r_55_02_20250407.jpg,1,212,212.000,0.085,26
r_55_02_20250407.jpg,0,0,NaN,0.000,27
r_55_02_20250407.jpg,8,30569,3821.125,12.228,28
r_55_02_20250407.jpg,8,7756,969.500,3.102,29
r_55_02_20250407.jpg,2,314,157.000,0.126,30
r_55_02_20250407.jpg,3,1970,656.667,0.788,31
r_55_02_20250407.jpg,0,0,NaN,0.000,32
